'S  qq ee s
10%  t s e: n qq p r o: t s ee n t
128  h uu n d ei t a x t uu n t t s v a n t s ii cc qq
14  f i: r t s e: n qq
15  f yy n f t s e: n qq
18  a x t t s e: n qq
186  h uu n d ei t z ee k s uu n t a x t t s ii cc qq
1949  t au z @ n t qq n oy n h uu n d ei t n oy n uu n t f i: r t s ii cc qq
1977  t au z @ n t qq n oy n h uu n d ei t z i: b @ n uu n t z i: b t s ii cc qq
1983  t au z @ n t qq n oy n h uu n d ei t d r ai uu n t a x t t s ii cc qq
1998  t au z @ n t qq n oy n h uu n d ei t a x t uu n t n oy n t s ii cc qq
2%  t s v ai qq p r o: t s ee n t
20  t s v a n t s ii cc qq
2000  t s v ai t au z @ n t qq qq
2002  t s v ai t au z @ n t qq t s v ai qq
2004  t s v ai t au z @ n t qq f i: r qq
2005  t s v ai t au z @ n t qq f yy n f qq
21  ai n uu n t t s v a n t s ii cc qq
24  f i: r uu n t t s v a n t s ii cc qq
242  t s v ai h uu n d ei t t s v ai uu n t f i: r t s ii cc qq
25  f yy n f uu n t t s v a n t s ii cc qq
253  t s v ai h uu n d ei t d r ai uu n t f yy n f t s ii cc qq
254  t s v ai h uu n d ei t f i: r uu n t f yy n f t s ii cc qq
328  d r ai h uu n d ei t a x t uu n t t s v a n t s ii cc qq
4  f i: r qq
40%  f i: r t s ii cc qq p r o: t s ee n t
43  d r ai uu n t f i: r t s ii cc qq
500000  f yy n f h uu n d ei t t au z @ n t qq
75  f yy n f uu n t z i: b t s ii cc qq
80  a x t t s ii cc qq
80%  a x t t s ii cc qq p r o: t s ee n t
850  a x t h uu n d ei t f yy n f t s ii cc qq
90  n oy n t s ii cc qq
90°_NEUNZIG_GRAD  n oy n t s ii cc qq n oy n t s ii cc g r aa: t
99  n oy n uu n t n oy n t s ii cc qq
A  qq aa:
AB  qq a p
ABBEDINGUNG  qq a p b @ d ii nn uu nn
ABEGTEILT  qq a b ee g t ai l t
ABER  qq aa: b ei
ABFOLGE  qq a p f oo l g @
ABGEDECKT  qq a p g @ d ee k t
ABGEGEBEN  qq a p g @ g e: b @ n
ABGEHEN  qq a p g e: @ n
ABGEHT  qq a p g e: t
ABGELAUFEN  qq a p g @ l au f @ n
ABGELEITET  qq a p g @ l ai t @ t
ABGELEITETEN  qq a p g @ l ai t qq e: t @ n
ABGENUTZT  qq a p g @ n uu t s t
ABGESCHAFFT  qq a p g @ ss a f t
ABGESCHLIFFEN  qq a p g @ ss l ii f @ n
ABGESCHLOSSEN  qq a p g @ ss l oo s @ n
ABHäNGIG  qq qq a p h ee: nn i: k
ABHöRSICHER  qq qq a p h ui: qq r z ii cc ei
ABKüRZUNGEN  qq qq a p k y: qq r t s uu nn @ n
ABLAUF  qq a p l au f
ABSCHLIEßEN  qq a p ss l i: qq e: s qq e: n
ABSCHLIEßENDE  qq a p ss l i: qq e: s qq ee n d @
ABSCHLIEßT  qq a p ss l i: qq e: s t e:
ABSCHLUSSFREIHEIT  qq a p ss l uu s f r ai h ai t
ABSCHLUß  qq a b ss l qq u: s
ABSCHRECKEN  qq a p ss r ee k @ n
ABSENDERADRESSE  qq a p z @ n d e: r a d r ee s @
ABSENDERS  qq a p z @ n d ei s
ABSOLUT  qq a p z o: l u: t
ABSOLUTEN  qq a p z o: l u: t @ n
ABSOLUTES  qq a p z o: l u: t @ s
ABSTAND  qq a p ss t a n t
ABSTEHEN  qq a p ss t e: @ n
ABSTEHENDE  qq a p ss t e: @ n d @
ABSTEHT  qq a p ss t e: t
ABZUGEBEN  qq a p t s u: g e: b @ n
ABZUGRENZEN  qq a p t s u: g r ee n t s @ n
ABZUSCHLIEßEN  qq a p t s u: ss l i: qq e: s qq e: n
ACCESS  a k s ee s
ACH  qq a x
ACHSBOHRUNG  qq a k s b o: r uu nn
ACHT  qq a x t
ADRESSAT  qq a d r ee s aa: t
ADRESSATEN  qq a d r ee s aa: t @ n
ADRESSE  qq a d r @ s @
ADRESSEN  qq a d r @ s @ n
ADRESSRAUM  qq a d r ee s r au m
ADRESSZUWEISUNG  qq a d r ee s t s u: v ai z uu nn
AES  qq ee: s
AGGRESSIVE  qq a g r ee s i: v @
AKKUS  qq a k uu s
AKT  qq a k t
AKTIV  qq a k t i: f
AKTIVEN  qq a k t i: v @ n
AKTIVISTEN  qq a k t i: v ii s t @ n
AKTUELLE  qq a k t u: ee l @
AKTUELLEN  qq a k t u: ee l @ n
ALGORITHMUS  qq a l g o: r ii t m uu s
ALKOHOLISIERT  qq a l k o: o: l i: z i: r t
ALLE  qq a l @
ALLEN  qq a l @ n
ALLER  qq a l ei
ALLERDINGS  qq a l ei d ii nn s
ALLES  qq a l @ s
ALLGEMEIN  qq a l g e: m ai n
ALLGEMEINE  qq a l g e: m ai n @
ALLGEMEINEN  qq a l g e: m ai n @ n
ALLGEMEINES  qq a l g e: m ai n @ s
ALLGEMEINHEIT  qq a l g e: m ai n h ai t
ALS  qq aa: l s
ALSO  qq a l z o:
ALSO_DAS_TEIL  qq a l z o: d a s t ai l
ALTER  qq a l t ei
ALTERNATIVE  qq a l t ei n a t i: v @
ALTERNATIVEN  qq a l t ei n a t i: v @ n
AM  qq a m
AMTS  qq a m t s
AN  qq a n
ANALOG  qq a n a l o: k
ANALOGE  qq a n a l o: g @
ANALOGIE  qq a n a l o: g i:
ANALYSIERT  qq a n a l y: z i: r t
ANBAHNUNG  qq a n b aa: n uu nn
ANBIETER  qq a n b i: t ei
ANBIETERN  qq a n b i: t @ r n
ANBINDUNG  qq a n b ii n d uu nn
ANDERE  qq a n d @ r @
ANDEREM  qq a n d @ r @ m
ANDEREN  qq a n d @ r @ n
ANDERER  qq a n d @ r ei
ANDERES  qq a n d @ r @ s
ANDERS  qq a n d ei s
ANERKANNT  qq a n qq ee r k a n t
ANERKANNTE  qq a n qq ee r k a n t @
ANFRAGE  qq a n f r aa: g @
ANFRAGEN  qq a n f r aa: g @ n
ANGABE  qq a n g aa: b @
ANGABEN  qq a n g aa: b @ n
ANGEBLICH  qq a n g e: b l ii cc
ANGEBOT  qq a n g @ b o: t
ANGEBRACHT  qq a n g @ b r a x t
ANGEBUNDEN  qq a n g @ b uu n d @ n
ANGEFORDERT  qq a n g @ f oo r d @ r t
ANGEGEBEN  qq a n g @ g e: b @ n
ANGEGRIFFEN  qq a n g @ g r ii f @ n
ANGEHäUFT  qq a nn @ h ee: qq uu f t
ANGEKLAGT  qq a n g @ k l aa: k t
ANGEKOMMEN  qq a n g @ k oo m @ n
ANGELEGENHEIT  qq a n g @ l e: g @ n h ai t
ANGEMESSENEN  qq a n g @ m ee s @ n @ n
ANGERUFEN  qq a n g @ qq r u: f @ n
ANGESCHLOSSEN  qq a n g @ ss l oo s @ n
ANGESEHEN  qq a n g @ z e: @ n
ANGESETZT  qq a n g @ z ee t s t
ANGESTRENGTES  qq a n g @ ss t r ee nn t @ s
ANGEWENDET  qq a n g @ v ee n d @ t
ANGEZEIGT  qq a n g @ t s ai k t
ANGREIFER  qq a n g r ai f ei
ANGREIFERN  qq a n g r ai f @ r n
ANGRENZEN  qq a n g r ee n t s @ n
ANGRENZEND  qq a n g r ee n t s @ n t
ANGRENZENDEN  qq a n g r ee n t s @ n d @ n
ANGRENZT  qq a n g r ee n t s t
ANGRIFFS  qq a n g r ii f s
ANGUCKEN  qq a n g uu k @ n
ANGUCKT  qq a n g uu k t
ANHäUFUNG  qq qq a n h ee: qq u: f uu nn
ANKLAGE  qq a n k l aa: g @
ANLEITUNG  qq a n l ai t qq uu nn
ANLIEGEN  qq a n l i: g @ n
ANLIEGT  qq a n l i: k t
ANMERKUNGEN  qq a n m ee r k uu nn @ n
ANONYMITäT  qq a n qq o: n y: m i: t ee: t e:
ANS  qq a n s
ANSCHAUEN  qq a n ss au @ n
ANSCHAUT  qq a n ss au t
ANSCHEIN  qq a n ss ai n
ANSCHLAG  qq a n ss l aa: k
ANSCHLIEßEND  qq a n ss l i: qq e: s qq ee n t
ANSCHLIEßT  qq a n ss l i: qq e: s t e:
ANSCHLUSS  qq a n ss l uu s
ANSONSTEN  qq a n z o: n s t @ n
ANSPRUCH  qq a n ss p r uu x
ANSPRüCHE  qq a n s p qq r y: cc e:
ANSPRüCHEN  qq a n s p qq r y: cc e: n
ANSSCHLIEßT  qq a n s cc l i: qq e: s t e:
ANTRAG  qq a n t r aa: k
ANTRAGSBERECHTIGT  qq a n t r a g s b e: r ee cc t ii cc t
ANTRAGSTELLER  qq a n t r a g s t ee l ei
ANTRAGSTELLERS  qq a n t r a g s t ee l ei s
ANTWORTEN  qq a n t v oo r t @ n
ANVERTRAUT  qq a n f ee r t r au t
ANWENDBAR  qq a n v ee n d b aa: r
ANWENDUNG  qq a n v ee n d uu nn
ANWENDUNGEN  qq a n v ee n d uu nn @ n
ANZEIGEPFLICHT  qq a n t s ai g ee p f l ii cc t
ANZUBRINGEN  qq a n t s u: b r ii nn @ n
ANZUTREFFEN  qq a n t s u: t r ee f @ n
ARBEIT  qq a r b ai t
ARBEITEN  qq a r b ai t @ n
ARBEITET  qq a r b ai t @ t
ARBEITGEBER  qq a r b ai t g e: b ei
ARBEITGEBERVERBAND  qq a r b ai t g e: b ee r v ei b a n t
ARBEITGEBERVERBäNDE  qq a r b ai t g e: b @ r v ei b ee: n d e:
ARBEITSFäHIGKEIT  qq a r b ai t s f ee: h ii cc k ai t
ARBEITSRECHT  qq a r b ai t s r ee cc t
ARBEITSVERHäLTNISSES  qq a r b ai t s v ei h ee: l t n ii s @ s
ARCHITEKTUR  qq a r cc i: t ee k t u: r
ARGLISTEINREDE  qq a r g l ii s t ai n r e: d @
ART  qq a r t
ARTIKEL  qq a r t i: k @ l
ASYMMETRISCHES  qq a z yy m ee t r ii ss @ s
